code,description
J189,"Pneumonia, unspecified organism"
I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
G4700,"Insomnia, unspecified"
M109,"Gout, unspecified"
I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
Z955,"Presence of coronary angioplasty implant and graft"
G4733,"Obstructive sleep apnea (adult) (pediatric)"
I4891,"Unspecified atrial fibrillation"
E1122,"Type 2 diabetes mellitus with diabetic chronic kidney disease"
E039,"Hypothyroidism, unspecified"
F329,"Major depressive disorder, single episode, unspecified"
D62,"Acute posthemorrhagic anemia"
J45909,"Unspecified asthma, uncomplicated"
J449,"Chronic obstructive pulmonary disease, unspecified"
N189,"Chronic kidney disease, unspecified"
I252,"Old myocardial infarction"
F17210,"Nicotine dependence, cigarettes, uncomplicated"
Y92230,"Patient room in hospital as the place of occurrence of the external cause"
N183,"Chronic kidney disease, stage 3 (moderate)"
I480,"Paroxysmal atrial fibrillation"
E871,"Hypo-osmolality and hyponatremia"
E119,"Type 2 diabetes mellitus without complications"
Z23,"Encounter for immunization"
E669,"Obesity, unspecified"
E785,"Hyperlipidemia, unspecified"
N179,"Acute kidney failure, unspecified"
Z7902,"Long term (current) use of antithrombotics/antiplatelets"
G8929,"Other chronic pain"
Z66,"Do not resuscitate"
N400,"Benign prostatic hyperplasia without lower urinary tract symptoms"
02HV33Z,"Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach"
Z951,"Presence of aortocoronary bypass graft"
K219,"Gastro-esophageal reflux disease without esophagitis"
I10,"Essential (primary) hypertension"
E872,"Acidosis"
I2510,"Atherosclerotic heart disease of native coronary artery without angina pectoris"
D649,"Anemia, unspecified"
Z87891,"Personal history of nicotine dependence"
Z8673,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
F419,"Anxiety disorder, unspecified"
I110,"Hypertensive heart disease with heart failure"
K5900,"Constipation, unspecified"
N390,"Urinary tract infection, site not specified"
D696,"Thrombocytopenia, unspecified"
Z86718,"Personal history of other venous thrombosis and embolism"
Y92239,"Unspecified place in hospital as the place of occurrence of the external cause"
Y929,"Unspecified place or not applicable"
J9601,"Acute respiratory failure with hypoxia"
Z794,"Long term (current) use of insulin"
Z7901,"Long term (current) use of anticoagulants"
